gene ID,gene_symbol,UniGene symbol,GenBank_id,Accession,gene_name,organism,p-value,sample,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,link,change_type,n_of_control,n_of_experiment,percent_of_change,FC,logFC,q-value,FDR
AI735692,LST1,,,,natural cytotoxicity triggering receptor 3,human,"0,007992726306",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,141,"2,41",,,
,LTB4DH,,,NM_012212.2,,human,"0,015526",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,LTBP1,,,M34057,latent transforming growth factor beta binding protein 1,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,79,1.79,,0.002142,
,LTBP2,,,NM_000428.1,,human,"0,0020889",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,LYPLA1,,,NM_006330.2,,human,"0,00000432",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,M17S2,M17S2,,,"membrane component, chromosome 17, surface marker 2",human,"0,00062",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"17,0848298",1.170848298,,,5.234573694
,M6PRBP1,,,NM_005817.2,,human,"0,0071121",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
AB029290,MACF1,,,,microtubule-actin crosslinking factor 1,human,"0,0006194650977",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,71,"1,71",,,
NM_003550,MAD1L1,,,,MAD1 mitotic arrest deficient-like 1 (yeast),human,"0,001024829381",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-49,74874372","1,99",,,
,MADD,MADD,,,MAP-kinase activating death domain,human,"0,00031",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-16,1566778",0.838433222,,,4.083053576
,MADHIP,,,NM_004799.1,,human,"0,0010357",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MADP-1,MADP-1,,,MADP-1 protein,human,"0,00031",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-18,57599736",0.814240026387775,,,5.385423359
NM_005360,MAF,,,,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian),human,"0,009846390272",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,84,"1,84",,,
NM_012323,MAFF,,,,v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian),human,"0,01524364948",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,141,"2,41",,,
NM_002359,MAFG,,,,v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian),human,"0,007025950627",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,86,"1,86",,,
,MAFG,,,NM_002359.1,,human,"0,0193724",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,MAGED1,MAGED1,,,"melanoma antigen, family D, 1",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"18,0154363",1.180154363,,,7.425651557
,MAGED2,,,NM_014599.4,,human,"0,0327927",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,MAL,,,X76220,"mal, T-cell differentiation protein",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,66,1.66,,0.002142,
BE543064,MAN1A2,,,,"mannosidase, alpha, class 1A, member 2",human,"0,01692334164",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-34,64052288","1,53",,,
NM_020379,MAN1C1,,,,"mannosidase, alpha, class 1C, member 1",human,"0,0009244844081",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-50,73891626","2,03",,,
,MAN2A1,,,NM_002372.1,,human,"0,0001158",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,MAOA,,,AA420624,monoamine oxidase A,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,59,1.59,,0.002142,
,MAP1B,,,L06237,microtubule-associated protein 1B,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-77,22095672",-4.39,,0.002142,
,MAP2K4,,,U17743,mitogen-activated protein kinase kinase 4,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-67,63754045",-3.09,,0.002142,
AF239798,MAP3K2,,,,mitogen-activated protein kinase kinase kinase 2 /// mitogen-activated protein kinase kinase kinase 2,human,"0,004073941954",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,39393939","1,65",,,
,MAP3K5,,,U67156,mitogen-activated protein kinase kinase kinase 5,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,58,1.58,,0.002142,
D84476,MAP3K5,,,,mitogen-activated protein kinase kinase kinase 5,human,"1,30E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,173,"2,73",,,
,MAP3K5,,,NM_005923.3,,human,"0,0256653",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,MAP3K7CL,C21orf7,,,chromosome 21 open reading frame 7,human,"0,00031",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,82,1.823570802,0.866766214870792,1.555448981,
NM_005204,MAP3K8,,,,mitogen-activated protein kinase kinase kinase 8,human,"0,00113137621",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,275,"3,75",,,
AL523310,MAP4,,,,microtubule-associated protein 4,human,"0,01432530201",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,64,"1,65",,,
,MAP4K1,MAP4K1,,,mitogen-activated protein kinase kinase kinase kinase 1,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-27,0335083",0.729664917,,,8.585534989
AA744529,MAP4K1,,,,mitogen-activated protein kinase kinase kinase kinase 1,human,"0,008898489889",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,67,"1,67",,,
,MAP4K3,MAP4K3,,,mitogen-activated protein kinase kinase kinase kinase 3 (MAP4K3),human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"38,1288592",1.381288592,,,5.506014094
,MAPK1,,,Z11695,mitogen-activated protein kinase 1,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-45,94594595",-1.85,,0.002142,
NM_002745,MAPK1,,,,mitogen-activated protein kinase 1,human,"0,02948798012",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-35,48387097","1,55",,,
AF100544,MAPK14,,,,mitogen-activated protein kinase 14,human,"0,007508995262",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-53,7037037","2,16",,,
,MAPK8IP3,,,NM_033392.3,,human,"0,0371033",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,MAPK9,,,U09759,mitogen-activated protein kinase 9,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-42,19653179",-1.73,,0.003812139,
,MAPKAP1,,,NM_024117.2,,human,"0,0011467",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
NM_014268,MAPRE2,,,,"microtubule-associated protein, RP/EB family, member 2",human,"0,0006552455106",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-35,8974359","1,56",,,
,MAPT,,,J03778,microtubule-associated protein tau,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-56,70995671",-2.31,,0.002142,
,MARK1,,,NM_018650.2,,human,"0,0204453",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-10,"0,9",,,
,MASK,,,NM_024668.1,,human,"0,0063541",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,MASK,,,NM_024668.1,,human,"0,0154122",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,MAT2A,,,X68836,"methionine adenosyltransferase II, alpha",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-51,92307692",-2.08,,0.002142,
BC001686,MAT2A,,,,"methionine adenosyltransferase II, alpha",human,"9,44E-06",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,57,"1,57",,,
,MATR3,MATR3,,,matrin 3,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"28,3333872",1.283333872,,,7.08522883
,MATR3,MATR3,,,matrin 3,human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"21,9124951",1.219124951,,,5.915805962
,MATR3,MATR3,,,matrin 3,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"19,0462244",1.190462244,,,4.083053576
NM_002382,MAX,,,,MAX protein,human,"0,002543947686",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-55,75221239","2,26",,,
,MBD4,,AL556619,,Methyl-CpG binding domain protein 4,human,"0,009",muscle,mRNA,Woman,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,10.1016/j.exger.2003.11.011,increased gene expression,7,8,34,1.34,,,0.048
,MBNL1,MBNL,,,muscleblind (Drosophila)-like,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"28,5713317",1.285713317,,,2.835248776
,MBNL1,MBNL,,,Muscleblind-like (Drosophila),human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"27,8810992",1.278810992,,,4.057692995
BF512200,MBNL1,,,,muscleblind-like (Drosophila),human,"0,008179521493",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-47,08994709","1,89",,,
,MBNL2,,,AF061261,muscleblind-like 2 (Drosophila),human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-37,5",-1.6,,0.002142,
AW070431,MBP,,,,myelin basic protein,human,"5,35E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-69,87951807","3,32",,,
BF594446,MCL1,,,,myeloid cell leukemia sequence 1 (BCL2-related),human,"0,004138506425",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-47,91666667","1,92",,,
AI859865,MCM4,,,,MCM4 minichromosome maintenance deficient 4 (S. cerevisiae),human,"0,0008483414678",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,52,"1,52",,,
,MCM7,,,NM_005916.3,,human,"0,0002557",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
NM_014060,MCTS1,,,,malignant T cell amplified sequence 1,human,"0,003719112759",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-40,11976048","1,67",,,
,MCTS1,,,NM_014060.1,,human,"0,0001179",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,MDC1,,NM_014641,,Mediator of DNA damage checkpoint 1,human,"0,004",muscle,mRNA,Woman,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,10.1016/j.exger.2003.11.011,increased gene expression,7,8,38,1.38,,,0.03
,MDH2,MDH2,,,"malate dehydrogenase 2, NAD (mitochondrial)",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-16,4220258",0.835779742,,,8.585534989
,MDS032,MDS032,,,Uncharacterized hematopoietic stem/progenitor cells protein,human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-25,8512614",0.741487386,,,8.175499961
NM_002395,ME1,,,,"malic enzyme 1, NADP(+)-dependent, cytosolic",human,"0,007148417646",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,480,"5,8",,,
AA314406,MED16,,,,"thyroid hormone receptor-associated protein, 95-kD subunit",human,"0,001834440616",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,64,"1,65",,,
U46837,MED21,,,,SRB7 suppressor of RNA polymerase B homolog (yeast),human,"0,02121163606",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,75903614","1,66",,,
AK024944,MED28,,,,Homo sapiens mRNA; cDNA DKFZp434N185 (from clone DKFZp434N185),human,"0,001990235191",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-61,83206107","2,62",,,
,MEGF8,,,AB011541,"EGF-like-domain, multiple 4",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-55,75221239",-2.26,,0.002142,
,MEP50,,,NM_024102.2,,human,"0,0125017",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
NM_005371,METTL1,,,,methyltransferase-like 1,human,"0,001002661328",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,82,"1,82",,,
,MFAP3L,,,AB014526,KIAA0626 gene product,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,59,1.59,,0.005124108,
BF739959,MFHAS1,,,,malignant fibrous histiocytoma amplified sequence 1,human,"0,005313978611",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,96,"1,96",,,
NM_012214,MGAT4A,,,,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A",human,"0,000834798718",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-68,84735202","3,21",,,
,MGC10471,,,NM_030818.2,,human,"0,0314038",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,MGC10946,,,NM_030572.1,,human,"0,0083545",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC11102,,,NM_032325.2,,human,"0,0208378",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,MGC13053,,,NM_032710.1,,human,"0,0138847",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,60,"1,6",,,
,MGC13057,,,NM_032321.1,,human,"0,0039336",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC15668,,,NM_032756.1,,human,"0,0049583",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,MGC15763,,,NM_138381.1,,human,"0,0064858",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,MGC16384,,,NM_053048.2,,human,"0,0000121",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,MGC21518,,,NM_145274.1,,human,"0,0000624",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC23947,,,NM_152278.1,,human,"0,0102028",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,MGC24180,,,NM_152352.1,,human,"0,0000000024",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC26605,,,NM_144662.1,,human,"0,0029048",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,MGC2714,,,NM_032299.2,,human,"0,0181411",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC29762,,,NM_144706.2,,human,"0,0037238",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,MGC3222,,,NM_024334.1,,human,"0,0129803",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,MGC35261,,,NM_173494.1,,human,"0,000281",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,60,"1,6",,,
,MGC45386,,,NM_198527.1,,human,"0,0016928",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC45594,,,NM_175907.2,,human,"0,0065859",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-10,"0,9",,,
,MGC4825,,,NM_024122.2,,human,"0,000000437",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,MGC48332,,,NM_178450.2,,human,"0,0004912",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-40,"0,6",,,
,MGC61571,,,NM_182523.1,,human,"0,0000744",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,MGP,,,NM_000900.1,,human,"0,0127034",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,50,"1,5",,,
,MGST1,,,NM_145792.1,,human,"0,0000219",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,50,"1,5",,,
,MGST2,,,NM_002413.3,,human,"0,0328482",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"30,76290683",1.3076290683413594,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"1,495694194",1.0149569419435245,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"35,51385224",1.3551385224360495,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"26,5955564",1.2659555640309832,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"10,05812351",1.1005812350547497,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"20,05761363",1.20057613630594,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,"<0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"37,90366505",1.3790366504814442,,,
,MICA,,,,MHC class I polypeptide-related sequence A,human,"<0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"39,49455514",1.3949455513962197,,,
,MICB,,,,MHC class I polypeptide-related sequence B,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-6,219887508",0.9378011249209492,,,
,MICB,,,,MHC class I polypeptide-related sequence B,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"26,05061017",1.260506101717417,,,
,MICB,,,,MHC class I polypeptide-related sequence B,human,"<0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"39,85654765",1.39856547652548,,,
